pays,orange,aqua,black,blue,green,gray,lime,maroon,navy,olive,red,silver,teal,white,yellow
Mauritius,24.444444444444443,,,,,,,,24.444444444444443,,25.555555555555557,,25.555555555555557,,
Mexico,0.29012345679012347,0.06790123456790123,0.19135802469135801,,33.333333333333336,1.3888888888888888,,0.8395061728395061,,0.8024691358024691,33.333333333333336,2.685185185185185,0.36419753086419754,26.703703703703702,
The Federated States Of Micronesia,,,,,,96.75308641975309,,,,,,1.1481481481481481,,2.0987654320987654,
Moldova,26.506172839506174,,1.1419753086419753,0.25308641975308643,0.06172839506172839,1.1049382716049383,,1.4320987654320987,33.54320987654321,2.117283950617284,33.79012345679013,,0.04938271604938271,,
Monaco,,,,,,,,,,,50.0,,,50.0,
Mongolia,7.191358024691358,,,,,,,,,0.16049382716049382,59.31481481481482,,33.333333333333336,,
Montenegro,19.54320987654321,,,,,0.2777777777777778,,0.006172839506172839,,4.888888888888889,74.87037037037037,,0.41358024691358025,,
Morocco,,,0.037037037037037035,,1.6666666666666667,,,0.5555555555555556,,,97.74074074074075,,,,
Mozambique,28.54320987654321,,20.074074074074073,,,1.1481481481481481,,0.5864197530864198,,0.3765432098765432,17.006172839506174,1.1481481481481481,26.85185185185185,4.265432098765432,
Myanmar,32.79012345679013,,,,23.537037037037038,0.1419753086419753,0.12962962962962962,,,1.8888888888888888,31.246913580246915,0.47530864197530864,,9.790123456790123,
Namibia,2.345679012345679,,,,31.5,0.9938271604938271,,,28.333333333333332,0.5555555555555556,27.15432098765432,1.376543209876543,0.6049382716049383,7.135802469135802,
Nauru,8.88888888888889,,,,,0.1419753086419753,,,88.55555555555556,,,0.42592592592592593,0.2222222222222222,1.7654320987654322,
Nepal,0.1419753086419753,,40.22839506172839,0.05555555555555555,,1.1975308641975309,,0.012345679012345678,15.481481481481481,,34.623456790123456,1.3209876543209877,0.037037037037037035,6.901234567901234,
The Netherlands,,,,,,,,33.333333333333336,33.333333333333336,,,2.2222222222222223,,31.11111111111111,
New Zealand,,,,,,1.1296296296296295,,,79.54938271604938,,9.253086419753087,2.6481481481481484,0.4691358024691358,6.950617283950617,
Nicaragua,0.19135802469135801,,,,,0.1419753086419753,,,,0.20987654320987653,0.024691358024691357,2.9382716049382718,66.67901234567901,29.814814814814813,
Niger,0.2222222222222222,,,,33.333333333333336,,,,,38.617283950617285,,2.3703703703703702,,25.45679012345679,
Nigeria,,,,,,,,,,,,,66.66666666666667,33.333333333333336,
North Macedonia,4.197530864197531,,,,,,,,,1.4135802469135803,65.9320987654321,,,,28.45679012345679
Norway,0.8148148148148148,,,,,0.012345679012345678,,,19.012345679012345,,59.48148148148148,4.7407407407407405,,15.938271604938272,
Oman,0.13580246913580246,,,,25.0,0.018518518518518517,,,,,48.24691358024691,1.0679012345679013,,25.530864197530864,
